sampleid	LibraryName	SampleName	Subject_ID
SRR13191514	S.170808.00427	S.170808.00427_225	CDM_261
SRR13191513	S.170808.00428	S.170808.00428_306	CDM_262
SRR13191512	S.170808.00429	S.170808.00429_153	CDM_263
SRR13191487	S.170808.00469	S.170808.00469_43	CDM_287
SRR13191485	S.170808.00471	S.170808.00471_526	CDM_288
SRR13191484	S.170808.00473	S.170808.00473_17	CDM_289
SRR13191483	S.170808.00475	S.170808.00475_350	CDM_290
SRR13191482	S.170808.00477	S.170808.00477_105	CDM_291
SRR13191481	S.170808.00478	S.170808.00478_273	CDM_292
SRR13191480	S.170808.00479	S.170808.00479_18	CDM_293
SRR13191479	S.170808.00481	S.170808.00481_260	CDM_294
SRR13191478	S.170808.00483	S.170808.00483_400	CDM_295
SRR13191477	S.170808.00485	S.170808.00485_197	CDM_296
SRR13191476	S.170808.00486	S.170808.00486_372	CDM_297
SRR13191474	S.170808.00488	S.170808.00488_85	CDM_298
SRR13191473	S.170808.00489	S.170808.00489_130	CDM_299
SRR13191472	S.170808.00491	S.170808.00491_296	CDM_111
SRR13191471	S.170808.00493	S.170808.00493_322	CDM_300
SRR13191470	S.170808.00495	S.170808.00495_459	CDM_301
SRR13191469	S.170808.00496	S.170808.00496_152	CDM_302
SRR13191468	S.170808.00498	S.170808.00498_489	CDM_303
SRR13191467	S.170808.00500	S.170808.00500_210	CDM_235
SRR13191466	S.170808.00502	S.170808.00502_176	CDM_304
SRR13191465	S.170808.00504	S.170808.00504_44	CDM_305
SRR13191463	S.170808.00547	S.170808.00547_590	CDM_327
SRR13191462	S.170808.00549	S.170808.00549_517	CDM_328
SRR13191461	S.170808.00551	S.170808.00551_183	CDM_329
SRR13191460	S.170808.00553	S.170808.00553_587	CDM_330
SRR13191459	S.170808.00555	S.170808.00555_22	CDM_331
SRR13191458	S.170808.00556	S.170808.00556_234	CDM_332
SRR13191457	S.170808.00557	S.170808.00557_547	CDM_333
SRR13191456	S.170808.00559	S.170808.00559_658	CDM_334
SRR13191454	S.170808.00560	S.170808.00560_290	CDM_335
SRR13191453	S.170808.00562	S.170808.00562_143	CDM_336
SRR13191452	S.170808.00564	S.170808.00564_196	CDM_337
SRR13191451	S.170808.00566	S.170808.00566_572	CDM_338
SRR13191450	S.170808.00568	S.170808.00568_214	CDM_339
SRR13191449	S.170808.00570	S.170808.00570_82	CDM_340
SRR13191448	S.170808.00572	S.170808.00572_566	CDM_341
SRR13191447	S.170808.00573	S.170808.00573_562	CDM_342
SRR13191446	S.170808.00574	S.170808.00574_217	CDM_343
SRR13191445	S.170808.00576	S.170808.00576_648	CDM_344
SRR13191442	S.170808.00579	S.170808.00579_438	CDM_346
SRR13191441	S.170808.00580	S.170808.00580_70	CDM_345
SRR13191440	S.170808.00584	S.170808.00584_548	CDM_349
SRR13191439	S.170808.00763	S.170808.00763_530	CDM_436
SRR13191438	S.170808.00771	S.170808.00771_34	CDM_259
SRR13191437	S.170808.00773	S.170808.00773_351	CDM_440
SRR13191510	S.170822.00231	S.170822.00231_41	CDM_431
SRR13191509	S.170822.00232	S.170822.00232_598	CDM_560
SRR13191508	S.170822.00233	S.170822.00233_534	CDM_437
SRR13191507	S.170822.00234	S.170822.00234_432	CDM_438
SRR13191506	S.170822.00235	S.170822.00235_525	CDM_439
SRR13191505	S.170822.00236	S.170822.00236_612	CDM_283
SRR13191504	S.170822.00237	S.170822.00237_340	CDM_444
SRR13191503	S.170822.00238	S.170822.00238_20	CDM_445
SRR13191502	S.170822.00239	S.170822.00239_610	CDM_446
SRR13191501	S.170822.00240	S.170822.00240_445	CDM_561
SRR13191499	S.170822.00241	S.170822.00241_271	CDM_562
SRR13191498	S.170822.00242	S.170822.00242_433	CDM_450
SRR13191497	S.170822.00243	S.170822.00243_497	CDM_458
SRR13191496	S.170822.00256	S.170822.00256_72	CDM_459
SRR13191495	S.170822.00257	S.170822.00257_193	CDM_460
SRR13191494	S.170822.00258	S.170822.00258_272	CDM_461
SRR13191493	S.170822.00259	S.170822.00259_483	CDM_462
SRR13191492	S.170822.00260	S.170822.00260_221	CDM_463
SRR13191491	S.170822.00369	S.170822.00369_175	CDM_468
SRR13191490	S.170822.00370	S.170822.00370_404	CDM_469
SRR13191488	S.170822.00371	S.170822.00371_403	CDM_470
SRR13191214	Extractblankswab10	Extractblankswab10_623	Control
SRR13191203	Extractblankswab11	Extractblankswab11_624	Control
SRR13191547	Extractblankswab4	Extractblankswab4_425	Control
SRR13191179	Extractemptywell10	Extractemptywell10_543	Control
SRR13191145	Extractemptywell13	Extractemptywell13_650	Control
SRR13191190	Extractemptywell1	Extractemptywell1_541	Control
SRR13191163	S.170804.00677	S.170804.00677_158	CDM_17
SRR13191152	S.170804.00679	S.170804.00679_475	CDM_18
SRR13191220	S.170804.00828	S.170804.00828_256	CDM_100
SRR13191219	S.170808.00001	S.170808.00001_257	CDM_101
SRR13191218	S.170808.00002	S.170808.00002_446	CDM_102
SRR13191217	S.170808.00004	S.170808.00004_144	CDM_103
SRR13191216	S.170808.00005	S.170808.00005_552	CDM_104
SRR13191215	S.170808.00007	S.170808.00007_99	CDM_105
SRR13191213	S.170808.00009	S.170808.00009_470	CDM_106
SRR13191212	S.170808.00010	S.170808.00010_98	CDM_107
SRR13191211	S.170808.00011	S.170808.00011_603	CDM_108
SRR13191210	S.170808.00013	S.170808.00013_561	CDM_109
SRR13191209	S.170808.00015	S.170808.00015_533	CDM_110
SRR13191208	S.170808.00017	S.170808.00017_113	CDM_111
SRR13191207	S.170808.00019	S.170808.00019_52	CDM_53
SRR13191206	S.170808.00021	S.170808.00021_107	CDM_112
SRR13191205	S.170808.00022	S.170808.00022_249	CDM_113
SRR13191204	S.170808.00024	S.170808.00024_24	CDM_114
SRR13191202	S.170808.00026	S.170808.00026_632	CDM_115
SRR13191201	S.170808.00029	S.170808.00029_174	CDM_117
SRR13191200	S.170808.00031	S.170808.00031_450	CDM_118
SRR13191199	S.170808.00033	S.170808.00033_654	CDM_119
SRR13191198	S.170808.00035	S.170808.00035_164	CDM_120
SRR13191197	S.170808.00037	S.170808.00037_344	CDM_121
SRR13191546	S.170808.00134	S.170808.00134_582	CDM_171
SRR13191545	S.170808.00136	S.170808.00136_487	CDM_51
SRR13191544	S.170808.00138	S.170808.00138_605	CDM_172
SRR13191543	S.170808.00140	S.170808.00140_117	CDM_173
SRR13191542	S.170808.00142	S.170808.00142_415	CDM_174
SRR13191541	S.170808.00144	S.170808.00144_331	CDM_175
SRR13191540	S.170808.00146	S.170808.00146_19	CDM_176
SRR13191539	S.170808.00148	S.170808.00148_103	CDM_177
SRR13191538	S.170808.00149	S.170808.00149_211	CDM_178
SRR13191537	S.170808.00151	S.170808.00151_292	CDM_179
SRR13191196	S.170808.00241	S.170808.00241_92	CDM_221
SRR13191195	S.170808.00243	S.170808.00243_536	CDM_222
SRR13191194	S.170808.00244	S.170808.00244_315	CDM_223
SRR13191193	S.170808.00246	S.170808.00246_635	CDM_224
SRR13191192	S.170808.00247	S.170808.00247_429	CDM_225
SRR13191191	S.170808.00248	S.170808.00248_182	CDM_226
SRR13191189	S.170808.00250	S.170808.00250_173	CDM_227
SRR13191188	S.170808.00252	S.170808.00252_485	CDM_228
SRR13191187	S.170808.00290	S.170808.00290_335	CDM_229
SRR13191186	S.170808.00322	S.170808.00322_10	CDM_230
SRR13191185	S.170808.00350	S.170808.00350_363	CDM_231
SRR13191184	S.170808.00351	S.170808.00351_5	CDM_232
SRR13191183	S.170808.00352	S.170808.00352_277	CDM_233
SRR13191182	S.170808.00355	S.170808.00355_646	CDM_235
SRR13191181	S.170808.00382	S.170808.00382_514	CDM_236
SRR13191180	S.170808.00384	S.170808.00384_23	CDM_237
SRR13191178	S.170808.00385	S.170808.00385_91	CDM_238
SRR13191177	S.170808.00387	S.170808.00387_390	CDM_239
SRR13191176	S.170808.00388	S.170808.00388_57	CDM_240
SRR13191175	S.170808.00390	S.170808.00390_405	CDM_241
SRR13191174	S.170808.00392	S.170808.00392_523	CDM_242
SRR13191173	S.170808.00393	S.170808.00393_348	CDM_243
SRR13191148	S.170808.00430	S.170808.00430_492	CDM_264
SRR13191147	S.170808.00432	S.170808.00432_6	CDM_265
SRR13191146	S.170808.00434	S.170808.00434_303	CDM_266
SRR13191144	S.170808.00436	S.170808.00436_431	CDM_267
SRR13191143	S.170808.00437	S.170808.00437_109	CDM_268
SRR13191142	S.170808.00439	S.170808.00439_444	CDM_269
SRR13191141	S.170808.00440	S.170808.00440_377	CDM_270
SRR13191140	S.170808.00441	S.170808.00441_283	CDM_271
SRR13191139	S.170808.00442	S.170808.00442_323	CDM_272
SRR13191138	S.170808.00444	S.170808.00444_393	CDM_273
SRR13191137	S.170808.00446	S.170808.00446_370	CDM_274
SRR13191225	S.170808.00657	S.170808.00657_464	CDM_388
SRR13191224	S.170808.00658	S.170808.00658_102	CDM_389
SRR13191223	S.170808.00659	S.170808.00659_455	CDM_390
SRR13191222	S.170808.00661	S.170808.00661_637	CDM_391
SRR13191221	S.170808.00662	S.170808.00662_583	CDM_392
SRR13191172	S.170822.00372	S.170822.00372_427	CDM_471
SRR13191171	S.170822.00373	S.170822.00373_76	CDM_472
SRR13191170	S.170822.00374	S.170822.00374_584	CDM_473
SRR13191169	S.170822.00375	S.170822.00375_12	CDM_487
SRR13191168	S.170822.00376	S.170822.00376_448	CDM_488
SRR13191167	S.170822.00377	S.170822.00377_248	CDM_489
SRR13191166	S.170822.00378	S.170822.00378_439	CDM_490
SRR13191165	S.170822.00379	S.170822.00379_137	CDM_491
SRR13191164	S.170822.00380	S.170822.00380_59	CDM_492
SRR13191162	S.170822.00381	S.170822.00381_172	CDM_504
SRR13191161	S.170822.00382	S.170822.00382_659	CDM_505
SRR13191160	S.170822.00383	S.170822.00383_539	CDM_506
SRR13191159	S.170822.00384	S.170822.00384_67	CDM_507
SRR13191158	S.170822.00385	S.170822.00385_511	CDM_508
SRR13191157	S.170822.00386	S.170822.00386_412	CDM_509
SRR13191156	S.170822.00387	S.170822.00387_360	CDM_451
SRR13191155	S.170822.00388	S.170822.00388_216	CDM_516
SRR13191154	S.170822.00389	S.170822.00389_371	CDM_517
SRR13191153	S.170822.00390	S.170822.00390_119	CDM_518
SRR13191151	S.170822.00391	S.170822.00391_313	CDM_519
SRR13191150	S.170822.00392	S.170822.00392_168	CDM_520
SRR13191149	S.170822.00393	S.170822.00393_628	CDM_521
SRR13191319	Extractemptywell6	Extractemptywell6_625	Control
SRR13191261	S.170804.00655	S.170804.00655_195	CDM_5
SRR13191250	S.170804.00656	S.170804.00656_333	CDM_6
SRR13191289	S.170804.00664	S.170804.00664_297	CDM_10
SRR13191278	S.170804.00666	S.170804.00666_597	CDM_11
SRR13191325	S.170808.00532	S.170808.00532_423	CDM_319
SRR13191324	S.170808.00534	S.170808.00534_330	CDM_320
SRR13191323	S.170808.00535	S.170808.00535_161	CDM_321
SRR13191322	S.170808.00537	S.170808.00537_299	CDM_322
SRR13191321	S.170808.00539	S.170808.00539_141	CDM_323
SRR13191320	S.170808.00541	S.170808.00541_449	CDM_324
SRR13191318	S.170808.00543	S.170808.00543_384	CDM_325
SRR13191317	S.170808.00545	S.170808.00545_567	CDM_326
SRR13191244	S.170808.00627	S.170808.00627_613	CDM_371
SRR13191243	S.170808.00629	S.170808.00629_602	CDM_372
SRR13191242	S.170808.00631	S.170808.00631_493	CDM_373
SRR13191241	S.170808.00633	S.170808.00633_55	CDM_374
SRR13191240	S.170808.00636	S.170808.00636_54	CDM_376
SRR13191238	S.170808.00637	S.170808.00637_346	CDM_377
SRR13191237	S.170808.00639	S.170808.00639_560	CDM_268
SRR13191236	S.170808.00641	S.170808.00641_162	CDM_378
SRR13191235	S.170808.00643	S.170808.00643_267	CDM_379
SRR13191234	S.170808.00644	S.170808.00644_381	CDM_380
SRR13191233	S.170808.00646	S.170808.00646_304	CDM_381
SRR13191232	S.170808.00648	S.170808.00648_352	CDM_382
SRR13191231	S.170808.00650	S.170808.00650_504	CDM_383
SRR13191230	S.170808.00651	S.170808.00651_508	CDM_384
SRR13191229	S.170808.00652	S.170808.00652_230	CDM_385
SRR13191227	S.170808.00654	S.170808.00654_402	CDM_386
SRR13191226	S.170808.00655	S.170808.00655_219	CDM_387
SRR13191316	S.170808.00720	S.170808.00720_66	CDM_416
SRR13191314	S.170808.00722	S.170808.00722_326	CDM_359
SRR13191313	S.170808.00724	S.170808.00724_48	CDM_147
SRR13191312	S.170808.00726	S.170808.00726_165	CDM_417
SRR13191311	S.170808.00728	S.170808.00728_354	CDM_418
SRR13191310	S.170808.00729	S.170808.00729_68	CDM_419
SRR13191309	S.170808.00731	S.170808.00731_663	CDM_420
SRR13191308	S.170808.00733	S.170808.00733_167	CDM_421
SRR13191307	S.170808.00735	S.170808.00735_521	CDM_422
SRR13191306	S.170808.00739	S.170808.00739_15	CDM_424
SRR13191305	S.170808.00740	S.170808.00740_545	CDM_425
SRR13191303	S.170808.00743	S.170808.00743_262	CDM_427
SRR13191302	S.170808.00745	S.170808.00745_49	CDM_428
SRR13191301	S.170808.00747	S.170808.00747_84	CDM_429
SRR13191300	S.170808.00748	S.170808.00748_380	CDM_415
SRR13191299	S.170808.00750	S.170808.00750_491	CDM_413
SRR13191298	S.170808.00753	S.170808.00753_37	CDM_143
SRR13191297	S.170808.00757	S.170808.00757_325	CDM_432
SRR13191296	S.170808.00758	S.170808.00758_74	CDM_433
SRR13191295	S.170808.00760	S.170808.00760_222	CDM_434
SRR13191294	S.170808.00762	S.170808.00762_414	CDM_435
SRR13191268	S.170810.00085	S.170810.00085_181	CDM_500
SRR13191267	S.170810.00087	S.170810.00087_413	CDM_501
SRR13191266	S.170810.00089	S.170810.00089_554	CDM_502
SRR13191265	S.170810.00090	S.170810.00090_229	CDM_503
SRR13191264	S.170810.00091	S.170810.00091_28	CDM_247
SRR13191263	S.170810.00103	S.170810.00103_407	CDM_510
SRR13191262	S.170810.00105	S.170810.00105_136	CDM_511
SRR13191260	S.170810.00109	S.170810.00109_596	CDM_512
SRR13191259	S.170810.00110	S.170810.00110_318	CDM_513
SRR13191258	S.170810.00112	S.170810.00112_120	CDM_262
SRR13191257	S.170810.00114	S.170810.00114_576	CDM_514
SRR13191256	S.170810.00116	S.170810.00116_364	CDM_515
SRR13191255	S.170810.00124	S.170810.00124_421	CDM_371
SRR13191254	S.170810.00130	S.170810.00130_532	CDM_522
SRR13191253	S.170810.00133	S.170810.00133_353	CDM_523
SRR13191252	S.170811.00245	S.170811.00245_644	CDM_521
SRR13191251	S.170811.00247	S.170811.00247_537	CDM_527
SRR13191249	S.170811.00266	S.170811.00266_11	CDM_321
SRR13191248	S.170811.00398	S.170811.00398_466	CDM_526
SRR13191247	S.170811.00400	S.170811.00400_187	CDM_527
SRR13191246	S.170811.00402	S.170811.00402_209	CDM_528
SRR13191245	S.170811.00403	S.170811.00403_453	CDM_444
SRR13191292	S.170811.00447	S.170811.00447_592	CDM_70
SRR13191291	S.170811.00449	S.170811.00449_245	CDM_548
SRR13191290	S.170811.00451	S.170811.00451_295	CDM_549
SRR13191288	S.170811.00453	S.170811.00453_463	CDM_550
SRR13191287	S.170811.00455	S.170811.00455_179	CDM_406
SRR13191286	S.170811.00457	S.170811.00457_205	CDM_551
SRR13191285	S.170822.00188	S.170822.00188_185	CDM_9
SRR13191284	S.170822.00189	S.170822.00189_540	CDM_25
SRR13191283	S.170822.00190	S.170822.00190_345	CDM_26
SRR13191282	S.170822.00191	S.170822.00191_228	CDM_61
SRR13191281	S.170822.00192	S.170822.00192_471	CDM_69
SRR13191280	S.170822.00193	S.170822.00193_148	CDM_80
SRR13191279	S.170822.00194	S.170822.00194_238	CDM_91
SRR13191277	S.170822.00195	S.170822.00195_63	CDM_97
SRR13191276	S.170822.00196	S.170822.00196_58	CDM_116
SRR13191275	S.170822.00201	S.170822.00201_329	CDM_185
SRR13191274	S.170822.00202	S.170822.00202_111	CDM_208
SRR13191273	S.170822.00203	S.170822.00203_309	CDM_72
SRR13191272	S.170822.00204	S.170822.00204_451	CDM_128
SRR13191271	S.170822.00205	S.170822.00205_357	CDM_162
SRR13191270	S.170822.00206	S.170822.00206_188	CDM_210
SRR13191269	S.170822.00207	S.170822.00207_101	CDM_234
SRR13191239	geneblock11	geneblock11_473	Control
SRR13191228	geneblock13	geneblock13_510	Control
SRR13191315	geneblock5	geneblock5_218	Control
SRR13191304	geneblock7	geneblock7_368	Control
SRR13191293	geneblock9	geneblock9_422	Control
SRR13191390	DNAfreewater10	DNAfreewater10_616	Control
SRR13191391	DNAfreewater1	DNAfreewater1_661	Control
SRR13191389	DNAfreewater6	DNAfreewater6_642	Control
SRR13191378	DNAfreewater7	DNAfreewater7_657	Control
SRR13191367	DNAfreewater8	DNAfreewater8_629	Control
SRR13191330	Extractemptywell5	Extractemptywell5_621	Control
SRR13191355	S.170804.00651	S.170804.00651_394	CDM_3
SRR13191344	S.170804.00653	S.170804.00653_285	CDM_4
SRR13191388	S.170804.00741	S.170804.00741_276	CDM_54
SRR13191387	S.170804.00743	S.170804.00743_589	CDM_55
SRR13191386	S.170804.00745	S.170804.00745_163	CDM_56
SRR13191385	S.170804.00747	S.170804.00747_27	CDM_57
SRR13191384	S.170804.00749	S.170804.00749_458	CDM_58
SRR13191383	S.170804.00750	S.170804.00750_568	CDM_59
SRR13191382	S.170804.00752	S.170804.00752_149	CDM_27
SRR13191381	S.170804.00753	S.170804.00753_549	CDM_60
SRR13191380	S.170804.00757	S.170804.00757_392	CDM_62
SRR13191379	S.170804.00759	S.170804.00759_31	CDM_63
SRR13191377	S.170804.00761	S.170804.00761_177	CDM_64
SRR13191376	S.170804.00763	S.170804.00763_236	CDM_65
SRR13191375	S.170804.00765	S.170804.00765_476	CDM_66
SRR13191374	S.170804.00767	S.170804.00767_9	CDM_67
SRR13191373	S.170804.00768	S.170804.00768_538	CDM_70
SRR13191372	S.170804.00770	S.170804.00770_4	CDM_68
SRR13191371	S.170804.00773	S.170804.00773_274	CDM_71
SRR13191370	S.170804.00774	S.170804.00774_128	CDM_72
SRR13191369	S.170804.00775	S.170804.00775_382	CDM_73
SRR13191368	S.170804.00777	S.170804.00777_387	CDM_74
SRR13191366	S.170804.00779	S.170804.00779_460	CDM_71
SRR13191365	S.170804.00781	S.170804.00781_233	CDM_75
SRR13191340	S.170808.00505	S.170808.00505_316	CDM_306
SRR13191339	S.170808.00506	S.170808.00506_522	CDM_307
SRR13191338	S.170808.00508	S.170808.00508_419	CDM_308
SRR13191337	S.170808.00510	S.170808.00510_366	CDM_309
SRR13191336	S.170808.00512	S.170808.00512_170	CDM_310
SRR13191335	S.170808.00514	S.170808.00514_408	CDM_311
SRR13191334	S.170808.00515	S.170808.00515_302	CDM_312
SRR13191333	S.170808.00517	S.170808.00517_282	CDM_313
SRR13191332	S.170808.00519	S.170808.00519_477	CDM_70
SRR13191331	S.170808.00521	S.170808.00521_373	CDM_314
SRR13191329	S.170808.00522	S.170808.00522_417	CDM_315
SRR13191328	S.170808.00524	S.170808.00524_1	CDM_316
SRR13191327	S.170808.00528	S.170808.00528_244	CDM_317
SRR13191326	S.170808.00530	S.170808.00530_263	CDM_318
SRR13191364	S.170810.00029	S.170810.00029_131	CDM_467
SRR13191363	S.170810.00031	S.170810.00031_21	CDM_279
SRR13191362	S.170810.00041	S.170810.00041_298	CDM_474
SRR13191361	S.170810.00043	S.170810.00043_556	CDM_475
SRR13191360	S.170810.00045	S.170810.00045_512	CDM_476
SRR13191359	S.170810.00047	S.170810.00047_45	CDM_477
SRR13191358	S.170810.00049	S.170810.00049_551	CDM_478
SRR13191357	S.170810.00050	S.170810.00050_171	CDM_479
SRR13191356	S.170810.00052	S.170810.00052_35	CDM_480
SRR13191354	S.170810.00054	S.170810.00054_338	CDM_481
SRR13191353	S.170810.00056	S.170810.00056_40	CDM_482
SRR13191352	S.170810.00057	S.170810.00057_14	CDM_483
SRR13191351	S.170810.00058	S.170810.00058_454	CDM_484
SRR13191350	S.170810.00059	S.170810.00059_8	CDM_485
SRR13191349	S.170810.00061	S.170810.00061_457	CDM_486
SRR13191348	S.170810.00072	S.170810.00072_286	CDM_493
SRR13191347	S.170810.00074	S.170810.00074_208	CDM_494
SRR13191346	S.170810.00076	S.170810.00076_342	CDM_495
SRR13191345	S.170810.00078	S.170810.00078_112	CDM_496
SRR13191343	S.170810.00080	S.170810.00080_83	CDM_497
SRR13191342	S.170810.00082	S.170810.00082_395	CDM_498
SRR13191341	S.170810.00084	S.170810.00084_203	CDM_499
